+--------------------------+--------+
| food                     | amount |
+--------------------------+--------+
| 味噌ラーメン             |     11 |
| ラーメン                 |     34 |
| タンメン                 |     11 |
| もやしラーメン           |      8 |
| 五目ラーメン             |     21 |
| とんこつラーメン         |     17 |
| チャーシューメン         |     11 |
| 味噌チャーシュー         |      9 |
| ねぎラーメン             |     35 |
| 味噌ねぎラーメン         |      7 |
| チャーハン               |     19 |
| 五目チャーハン           |     13 |
| 海老チャーハン           |      4 |
| 中華飯                   |     14 |
| 餃子                     |     21 |
| 野菜餃子                 |     18 |
| シュウマイ               |      5 |
| 春巻き                   |      5 |
| オレンジジュース         |      1 |
| ウーロン茶               |      2 |
| オレンジジュース         |      2 |
+--------------------------+--------+
21 rows in set (0.00 sec)
+------------+--------------------------+--------------+--------+
| date       | food                     | foodgroup    | amount |
| 2006/12/26 | チャーシューメン         | 麺           |     28 |
| 2006/12/26 | 味噌チャーシュー         | 麺           |      8 |
| 2006/12/26 | ねぎラーメン             | 麺           |     32 |
| 2006/12/26 | 味噌ねぎラーメン         | 麺           |     10 |
| 2006/12/26 | チャーハン               | ご飯         |     14 |
| 2006/12/26 | 五目チャーハン           | ご飯         |      5 |
| 2006/12/26 | 海老チャーハン           | ご飯         |      3 |
| 2006/12/26 | 中華飯                   | ご飯         |      8 |
| 2006/12/26 | 餃子                     | 飲茶         |     72 |
| 2006/12/26 | 野菜餃子                 | 飲茶         |     11 |
| 2006/12/26 | シュウマイ               | 飲茶         |      8 |
| 2006/12/26 | 春巻き                   | 飲茶         |      3 |
| 2006/12/26 | オレンジジュース         | ドリンク     |      1 |
| 2006/12/26 | ウーロン茶               | ドリンク     |     14 |
| 2006/12/26 | サイダー                 | ドリンク     |      2 |
| 2006/12/27 | 味噌ラーメン             | 麺           |     12 |
| 2006/12/27 | ラーメン                 | 麺           |     29 |
| 2006/12/27 | タンメン                 | 麺           |     10 |
| 2006/12/27 | もやしラーメン           | 麺           |      5 |
| 2006/12/27 | 五目ラーメン             | 麺           |     38 |
| 2006/12/27 | とんこつラーメン         | 麺           |     16 |
| 2006/12/27 | チャーシューメン         | 麺           |     11 |
| 2006/12/27 | 味噌チャーシュー         | 麺           |      6 |
| 2006/12/27 | ねぎラーメン             | 麺           |     18 |
| 2006/12/27 | 味噌ねぎラーメン         | 麺           |      5 |
| 2006/12/27 | チャーハン               | ご飯         |     13 |
| 2006/12/27 | 五目チャーハン           | ご飯         |      5 |
| 2006/12/27 | 海老チャーハン           | ご飯         |      1 |
| 2006/12/27 | 中華飯                   | ご飯         |      8 |
| 2006/12/27 | 餃子                     | 飲茶         |     62 |
| 2006/12/27 | 野菜餃子                 | 飲茶         |     32 |
| 2006/12/27 | シュウマイ               | 飲茶         |      3 |
| 2006/12/27 | 春巻き                   | 飲茶         |      5 |
| 2006/12/27 | オレンジジュース         | ドリンク     |      1 |
| 2006/12/27 | ウーロン茶               | ドリンク     |      4 |
| 2006/12/27 | サイダー                 | ドリンク     |      1 |
| 2006/12/28 | 味噌ラーメン             | 麺           |     46 |
| 2006/12/28 | ラーメン                 | 麺           |     59 |
| 2006/12/28 | タンメン                 | 麺           |     30 |
| 2006/12/28 | もやしラーメン           | 麺           |     21 |
| 2006/12/28 | 五目ラーメン             | 麺           |     53 |
| 2006/12/28 | とんこつラーメン         | 麺           |     21 |
| 2006/12/28 | チャーシューメン         | 麺           |     11 |
| 2006/12/28 | 味噌チャーシュー         | 麺           |      8 |
| 2006/12/28 | ねぎラーメン             | 麺           |     42 |
| 2006/12/28 | 味噌ねぎラーメン         | 麺           |     18 |
| 2006/12/28 | チャーハン               | ご飯         |     25 |
| 2006/12/28 | 五目チャーハン           | ご飯         |     12 |
| 2006/12/28 | 海老チャーハン           | ご飯         |      8 |
| 2006/12/28 | 中華飯                   | ご飯         |     19 |
| 2006/12/28 | 餃子                     | 飲茶         |     70 |
| 2006/12/28 | 野菜餃子                 | 飲茶         |     28 |
| 2006/12/28 | シュウマイ               | 飲茶         |      3 |
| 2006/12/28 | 春巻き                   | 飲茶         |      1 |
| 2006/12/28 | オレンジジュース         | ドリンク     |      9 |
| 2006/12/28 | ウーロン茶               | ドリンク     |     14 |
| 2006/12/28 | サイダー                 | ドリンク     |      6 |
| 2006/12/29 | 味噌ラーメン             | 麺           |     34 |
| 2006/12/29 | ラーメン                 | 麺           |     47 |
| 2006/12/29 | タンメン                 | 麺           |     11 |
| 2006/12/29 | もやしラーメン           | 麺           |     28 |
| 2006/12/29 | 五目ラーメン             | 麺           |     29 |
| 2006/12/29 | とんこつラーメン         | 麺           |     35 |
| 2006/12/29 | チャーシューメン         | 麺           |     17 |
| 2006/12/29 | 味噌チャーシュー         | 麺           |     12 |
| 2006/12/29 | ねぎラーメン             | 麺           |     30 |
| 2006/12/29 | 味噌ねぎラーメン         | 麺           |     19 |
| 2006/12/29 | チャーハン               | ご飯         |     24 |
| 2006/12/29 | 五目チャーハン           | ご飯         |     12 |
| 2006/12/29 | 海老チャーハン           | ご飯         |      6 |
| 2006/12/29 | 中華飯                   | ご飯         |     17 |
| 2006/12/29 | 餃子                     | 飲茶         |     76 |
| 2006/12/29 | 野菜餃子                 | 飲茶         |     31 |
| 2006/12/29 | シュウマイ               | 飲茶         |     11 |
| 2006/12/29 | 春巻き                   | 飲茶         |      8 |
| 2006/12/29 | オレンジジュース         | ドリンク     |      2 |
| 2006/12/29 | ウーロン茶               | ドリンク     |     20 |
| 2006/12/29 | サイダー                 | ドリンク     |      5 |
| 2006/12/30 | 味噌ラーメン             | 麺           |     31 |
| 2006/12/30 | ラーメン                 | 麺           |     43 |
| 2006/12/30 | タンメン                 | 麺           |     20 |
| 2006/12/30 | もやしラーメン           | 麺           |     18 |
| 2006/12/30 | 五目ラーメン             | 麺           |     19 |
| 2006/12/30 | とんこつラーメン         | 麺           |     42 |
| 2006/12/30 | チャーシューメン         | 麺           |     17 |
| 2006/12/30 | 味噌チャーシュー         | 麺           |     21 |
| 2006/12/30 | ねぎラーメン             | 麺           |     18 |
| 2006/12/30 | 味噌ねぎラーメン         | 麺           |     18 |
| 2006/12/30 | チャーハン               | ご飯         |     31 |
| 2006/12/30 | 五目チャーハン           | ご飯         |     10 |
| 2006/12/30 | 海老チャーハン           | ご飯         |      6 |
| 2006/12/30 | 中華飯                   | ご飯         |     15 |
| 2006/12/30 | 餃子                     | 飲茶         |     67 |
| 2006/12/30 | 野菜餃子                 | 飲茶         |     26 |
| 2006/12/30 | シュウマイ               | 飲茶         |      8 |
| 2006/12/30 | 春巻き                   | 飲茶         |     18 |
| 2006/12/30 | オレンジジュース         | ドリンク     |      7 |
| 2006/12/30 | ウーロン茶               | ドリンク     |     11 |
| 2006/12/30 | サイダー                 | ドリンク     |      8 |
| 2006/12/31 | 味噌ラーメン             | 麺           |     11 |
| 2006/12/31 | ラーメン                 | 麺           |     34 |
| 2006/12/31 | タンメン                 | 麺           |     11 |
| 2006/12/31 | もやしラーメン           | 麺           |      8 |
| 2006/12/31 | 五目ラーメン             | 麺           |     21 |
| 2006/12/31 | とんこつラーメン         | 麺           |     17 |
| 2006/12/31 | チャーシューメン         | 麺           |     11 |
| 2006/12/31 | 味噌チャーシュー         | 麺           |      9 |
| 2006/12/31 | ねぎラーメン             | 麺           |     35 |
| 2006/12/31 | 味噌ねぎラーメン         | 麺           |      7 |
| 2006/12/31 | チャーハン               | ご飯         |     19 |
| 2006/12/31 | 五目チャーハン           | ご飯         |     13 |
| 2006/12/31 | 海老チャーハン           | ご飯         |      4 |
| 2006/12/31 | 中華飯                   | ご飯         |     14 |
| 2006/12/31 | 餃子                     | 飲茶         |     21 |
| 2006/12/31 | 野菜餃子                 | 飲茶         |     18 |
| 2006/12/31 | シュウマイ               | 飲茶         |      5 |
| 2006/12/31 | 春巻き                   | 飲茶         |      5 |
| 2006/12/31 | オレンジジュース         | ドリンク     |      1 |
| 2006/12/31 | ウーロン茶               | ドリンク     |      2 |
| 2006/12/31 | オレンジジュース         | ドリンク     |      2 |
+------------+--------------------------+--------------+--------+
147 rows in set (0.00 sec)
+------------+--------------------------+--------+-----------+
| date       | food                     | amount | foodgroup |
+------------+--------------------------+--------+-----------+
| 2006/12/31 | 味噌ラーメン             |     11 | 麺        |
| 2006/12/31 | 五目ラーメン             |     21 | 麺        |
| 2006/12/31 | チャーシューメン         |     11 | 麺        |
| 2006/12/31 | 味噌チャーシュー         |      9 | 麺        |
| 2006/12/31 | 味噌ねぎラーメン         |      7 | 麺        |
+------------+--------------------------+--------+-----------+
5 rows in set (0.00 sec)
